"classifier","dataset","final AUROC","final F1","percentage of train size labelled","initially labelled","labelled","incorrectly laballed","iterations","sample_size","autolabel_percent"
"xgb","spambase","0.901231626806178","0.796714579055442","0.01","34","96","1","100","200","0.05"
"xgb","spambase","0.885388639760837","0.769230769230769","0.01","34","1699","103","100","200","0.1"
"xgb","spambase","0.870816205779771","0.696857670979667","0.01","34","2656","385","97","200","0.15"
"xgb","spambase","0.846112045341305","0.690839694656489","0.01","34","2691","501","70","200","0.2"
"xgb","spambase","0.868570939212755","0.694817658349328","0.01","34","2418","289","51","200","0.25"
"svm","spambase","0.887996699053313","0.734643734643735","0.01","34","999","58","100","200","0.05"
"svm","spambase","0.901368647234679","0.654891304347826","0.01","34","1998","160","100","200","0.1"
"svm","spambase","0.844514511709018","0.547337278106509","0.01","34","2994","554","100","200","0.15"
"svm","spambase","0.800316081215745","0.538116591928251","0.01","34","3200","687","81","200","0.2"
"svm","spambase","0.81282230941704","0.580174927113703","0.01","34","3200","650","65","200","0.25"
