"classifier","dataset","final AUROC","final F1","percentage of train size labelled","initially labelled","labelled","incorrectly laballed","iterations"
"xgb","spambase","0.901231626806178","0.796714579055442","0.01","34","96","1","100"
"xgb","spambase","0.894769867962133","0.765822784810127","0.02","68","373","9","100"
"xgb","spambase","0.907246512207274","0.792332268370607","0.03","103","427","14","100"
"xgb","spambase","0.945733682112606","0.852097130242826","0.04","137","971","21","100"
"xgb","spambase","0.936651407573493","0.842105263157895","0.05","172","262","5","29"
"svm","spambase","0.887996699053313","0.734643734643735","0.01","34","999","58","100"
"svm","spambase","0.907469170403587","0.757647058823529","0.02","68","990","35","100"
"svm","spambase","0.924400535625311","0.800453514739229","0.03","103","992","29","100"
"svm","spambase","0.930376494768311","0.812286689419795","0.04","137","992","24","100"
"svm","spambase","0.941057859990035","0.810810810810811","0.05","172","996","33","100"
