"classifier","dataset","final AUROC","final F1","percentage of train size labelled","initially labelled","labelled","incorrectly laballed","iterations","sample_size","autolabel_percent"
"xgb","spambase","0.901231626806178","0.796714579055442","0.01","34","96","1","100","200","0.05"
"xgb","spambase","0.888312780269058","0.759315206445116","0.01","34","210","11","100","400","0.05"
"xgb","spambase","0.896087132536124","0.781485468245425","0.01","34","263","18","100","600","0.05"
"xgb","spambase","0.898491218236173","0.798715203426124","0.01","34","188","9","100","800","0.05"
"xgb","spambase","0.89563870204285","0.797883597883598","0.01","34","123","7","100","1000","0.05"
"svm","spambase","0.887996699053313","0.734643734643735","0.01","34","999","58","100","200","0.05"
"svm","spambase","0.898242090184355","0.656716417910448","0.01","34","1989","154","100","400","0.05"
"svm","spambase","0.881042912306926","0.566423357664233","0.01","34","2785","420","95","600","0.05"
"svm","spambase","0.903364785749875","0.604255319148936","0.01","34","2587","312","66","800","0.05"
"svm","spambase","0.899662120079721","0.608203677510608","0.01","34","2393","257","49","1000","0.05"
