"classifier","dataset","final AUROC","final F1","percentage of train size labelled","initially labelled","labelled","incorrectly laballed","iterations","sample_size","autolabel_percent","criterion_used","mean_certainty_threshold","similarity_threshold"
"xgb","spambase","0.889791978076731","0.778481012658228","0.01","34","75","3","7","400","0.05","stabilization","0.95","0.9"
"xgb","spambase","0.890307361733931","0.774736842105263","0.01","34","89","3","9","400","0.05","stabilization","0.95","0.92"
"xgb","spambase","0.890307361733931","0.774736842105263","0.01","34","89","3","9","400","0.05","stabilization","0.95","0.94"
"xgb","spambase","0.883971723966119","0.760479041916168","0.01","34","133","6","15","400","0.05","stabilization","0.95","0.96"
"xgb","spambase","0.893366965620329","0.781052631578947","0.01","34","164","9","18","400","0.05","stabilization","0.95","0.98"
"svm","spambase","0.884060475834579","0.763428571428571","0.01","34","99","5","6","400","0.05","stabilization","0.95","0.9"
"svm","spambase","0.884060475834579","0.763428571428571","0.01","34","99","5","6","400","0.05","stabilization","0.95","0.92"
"svm","spambase","0.884060475834579","0.763428571428571","0.01","34","99","5","6","400","0.05","stabilization","0.95","0.94"
"svm","spambase","0.884060475834579","0.763428571428571","0.01","34","99","5","6","400","0.05","stabilization","0.95","0.96"
"svm","spambase","0.884060475834579","0.763428571428571","0.01","34","99","5","6","400","0.05","stabilization","0.95","0.98"
